words,hints
asparagus,"A tall plant of the lily family with fine feathery foliage, cultivated for its edible shoots."
beans,This is a word in Vegetables. :]
broccoli,A cultivated variety of cabbage bearing heads of green or purplish flower buds that are eaten as a vegetable.
cabbage,"A cultivated plant eaten as a vegetable, having thick green or purple leaves surrounding a spherical heart or head of young leaves."
carrot,A tapering orange-coloured root eaten as a vegetable.
celery,"A cultivated plant of the parsley family, with closely packed succulent leaf stalks which are used as a salad or cooked vegetable."
corn,"The chief cereal crop of a district, especially (in England) wheat or (in Scotland) oats."
cucumber,"A long, green-skinned fruit with watery flesh, usually eaten raw in salads or pickled."
eggplant,"The purple egg-shaped fruit of a tropical Old World plant, which is eaten as a vegetable; an aubergine."
green pepper,This is a word in Vegetables. :]
lettuce,"A cultivated plant of the daisy family, with edible leaves that are eaten in salads."
onion,"A swollen edible bulb used as a vegetable, having a pungent taste and smell and composed of several concentric layers."
peas,This is a word in Vegetables. :]
potato,"A starchy plant tuber which is one of the most important food crops, cooked and eaten as a vegetable."
pumpkin,"A large rounded orange-yellow fruit with a thick rind, the flesh of which can be used in sweet or savoury dishes."
radish,"A swollen pungent-tasting edible root, especially a variety which is small, spherical, and red, and eaten raw with salad."
spinach,"An edible Asian plant of the goosefoot family, with large dark green leaves which are widely eaten as a vegetable."
sweet potato,This is a word in Vegetables. :]
tomato,"A glossy red, or occasionally yellow, pulpy edible fruit that is eaten as a vegetable or in salad."
turnip,A round root with white or cream flesh which is eaten as a vegetable and also has edible leaves.
